index,Dice,IoU,Precision,Recall,aji_plus,pq,detection_f1,segmentation_quality,recognition_quality
6482,0.8522464103751737,0.7425343018563357,0.7951598962834918,0.9181636726546906,0.6577726218097448,0.6149392316666424,0.7368421052631579,0.8345603858333005,0.7368421052631579
6483,0.8755062050947093,0.7785780669144982,0.8486408914401485,0.9041280690709597,0.5975473801560758,0.5095654257875553,0.6666666666666666,0.7643481386813329,0.6666666666666666
6484,0.8743806936231421,0.7767996592361209,0.8471663053576959,0.9034015852047557,0.7273609762862294,0.719509656841645,0.8846153846153846,0.8133587425166422,0.8846153846153846
6485,0.8301252820045121,0.7095847694075168,0.7866630276564774,0.8786708667818312,0.45026834878371785,0.37623414201877414,0.5079365079365079,0.7407109670994616,0.5079365079365079
6486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6487,0.88475865280149,0.7933337972305338,0.8469023919179914,0.926157595450853,0.5618447366826252,0.5214109684157399,0.6933333333333334,0.7520350505996247,0.6933333333333334
6488,0.851280609914626,0.7410692439442134,0.8497580136073508,0.852808672391947,0.4406554699065802,0.3821314117686117,0.5238095238095238,0.7295236042855314,0.5238095238095238
6489,0.8904339710685955,0.802506518630667,0.8608679960299558,0.9221030250314101,0.5543549682412207,0.47303280602172476,0.625,0.7568524896347596,0.625
6490,0.8784176847004073,0.783195020746888,0.8772949105275389,0.8795433364398881,0.5231570129248444,0.46205879694142277,0.6133333333333333,0.7533567341436241,0.6133333333333333
6491,0.9234772104260558,0.8578334052654294,0.9194190026829494,0.9275714019040507,0.4055272442179537,0.22821931233331597,0.2978723404255319,0.7661648342618465,0.2978723404255319
6492,0.9028976572133169,0.822983984265243,0.8519488074461896,0.960327868852459,0.6289229224202862,0.6156196229431574,0.7777777777777778,0.7915109437840595,0.7777777777777778
6493,0.8651003258446236,0.7622703094777563,0.9095564370717635,0.8247874427730543,0.594878601847243,0.5268556298591953,0.6666666666666666,0.7902834447887931,0.6666666666666666
6494,0.8604818410643653,0.7551278005680025,0.8915797317436661,0.8314801945795691,0.5230183775756451,0.39860530006422523,0.5384615384615384,0.7402669858335612,0.5384615384615384
6495,0.8302327391608936,0.7097418152781475,0.8265654060756354,0.8339327599687255,0.40610535596208946,0.2946271613099678,0.46153846153846156,0.6383588495049302,0.46153846153846156
